PLOTID;VISIT_NBR;STATECD;UNITCD;COUNTYCD;RETIRED_PLOT;SUBP;CONDID;TREE;STEM;OFFSET_POINT;DIST;AZIMUTH;STATUSCD;TREECLCD;TPA_UNADJ;SPCD;SPGRPCD;STANDING_DEAD_CD;MORTYR;DIA;DIACHECK;DIAHTCD;LTDMP;TOTAL_LENGTH;ACTUAL_LENGTH;HTCD;ABNORMAL_STEM_TERMINATION;RECONCILECD;BOLE_STUMP_REMOVED;FIELD_PREV_DIA;FIELD_PREV_STATUS_CD;FIELD_PREV_NBR_STEMS;CROWN_DIEBACK_CD;CROWN_LIGHT_EXPOSURE;UNCOMP_CROWN_RATIO;CROWN_DIA_WIDE;CROWN_DIA_90;FOLIAGE_ABSENT;CROWN_CLASS_CD;COMP_CROWN_RATIO;IS_MAINTAINED_AREA;IS_RIPARIAN;IS_STREET_TREE;IS_PLANTED;DMG_ROOT_STEM_GIRDLING;DMG_TRUNK_BARK_INCLUSION;DMG_TOPPING_PRUNING;DMG_EXCESS_MULCH;DMG_SIDEWALK_ROOT_CONFLICT;DMG_OVERHEAD_WIRES;DMG_IMPROPER_PLANTING;DAMAGE_AGENT_1;DAMAGE_AGENT_2;DAMAGE_AGENT_3;NBR_STEMS;CULL_FLD;CAUSE_OF_DEATH;DECAYCD;MORTALITY_CD;TREECLCD_NRS;TREECLCD_SRS;TREECLCD_PNWRS;TREECLCD_RMRS;TREE_GRADE;MOTHER_TREE;BASAL_AREA;BF_GROSS_SAWLOG_VOLUME;BF_NET_SAWLOG_VOLUME;CF_GROSS_SAWLOG_VOLUME;CF_GROSS_VOLUME;CF_NET_SAWLOG_VOLUME;CF_NET_VOLUME;CF_SND_SAWLOG_VOLUME;CF_SND_VOLUME;DRY_TOT_BIOMASS;DRY_MERCH_BIOMASS;BOLE_BIOMASS;STUMP_BIOMASS;TOP_BIOMASS;SAWLOG_BIOMASS;SAPLING_BIOMASS;WDLD_BIOMASS;BG_BIOMASS;AG_CARBON;BG_CARBON;CN;PLT_CN;SBP_CN;CND_CN;MTRE_CN;PREV_PLT_CN;PREV_TRE_CN;TREE_SITE_INDEX
1114719;1;48;5;453;196;1;1;21;0;0;05.kwi;155;1;3;6.018046285662292;61;23;;;11.lut;0;2;;32;;1;;;;;;;5;1;45;23.0;21.0;25;3;27;0;0;;;;;;;;;;22500;;;1;9;;;;;3;;;;;0.68414976;;;;10.77088168902656;;9.801502337014169;;9.801502337014169;410.0200984008467;248.7195450024657;;;;;;271.55650314837976;62.065480554325745;135.77825157418988;31.032740277162873;144859;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;22;0;0;34.9;156;1;3;6.018046285662292;61;23;;;11.maj;0;2;;31;;1;;;;;;;0;2;75;21.0;21.0;20;3;30;0;0;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.7212915;;;;11.0525090390875;;10.499883587133125;;10.499883587133125;420.7139370686641;267.33149803126696;;;;;;290.9055747116755;66.42988538567265;145.45278735583776;33.214942692836324;144860;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;23;0;0;45.3;164;1;3;6.018046285662292;61;23;;;06.maj;0;2;;30;;1;;;;;;;0;2;45;12.0;9.0;20;3;30;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;0.2304315;;;;2.87297627875;;2.87297627875;;2.87297627875;122.10407730882207;67.13928261172983;;;;;;79.597531588536;18.646128855502816;39.798765794268;9.323064427751408;144861;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;24;0;0;33.5;167;1;3;6.018046285662292;61;23;;;07.lut;0;2;;31;;1;;;;;;;10;1;50;12.0;10.0;29;3;31;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;0.28273536;;;;3.73050428145664;;3.73050428145664;;3.73050428145664;154.61921091156722;88.74431463261136;;;;;;103.35585942032509;24.071780733374457;51.677929710162545;12.035890366687228;144862;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;25;25;0;24.mar;170;1;3;6.018046285662292;973;41;;;05.maj;0;1;;29;;1;;;;;;;10;1;70;12.0;9.0;20;4;37;0;0;;;0;1;0;0;0;0;0;;;;;0;;;;;3;;;;;0.1649835;;;;1.448547;;1.448547;;1.448547;59.30104212901237;39.38130319155904;59.0242343184;8.08434100923228;25.995292140666624;;;;18.673184348094136;46.55193373414945;9.336592174047068;144863;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;26;26;0;24.lut;184;1;3;6.018046285662292;973;41;;;05.mar;0;1;04.wrz;29;;1;;;;;;;5;1;75;15.0;10.0;15;3;38;0;0;;;0;1;0;0;0;0;0;22500;;;;7;;;;;3;;;;;0.15320286;;;;1.33404108;;1.2406582044;;1.2406582044;54.86248807262886;32.47141558882498;50.55334798632768;7.139362924478464;23.034676869948246;;;;16.233512789685825;40.36369389037719;8.116756394842913;144864;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;27;0;0;37.7;198;1;3;6.018046285662292;61;23;;;11.cze;0;2;;33;;1;;;;;;;10;4;50;17.0;19.0;30;3;25;0;0;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.73389024;;;;12.19373287446016;;11.584046230737153;;11.584046230737153;459.3839333754738;295.25378392152396;;;;;;320.94295125031124;73.26855158212588;160.47147562515562;36.63427579106294;144865;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;28;0;0;33.8;214;1;3;6.018046285662292;61;23;;;16.sty;0;2;;31;;1;;;;;;;10;1;65;15.0;15.0;40;3;20;0;0;;;;;;;;;;22500;;;1;3;;;;;3;;;;;1.41373134;;;;24.79197099692574;;24.04821186701797;;24.04821186701797;869.2898813657998;636.1978891669118;;;;;;666.270138702853;150.74943815701656;333.1350693514265;75.37471907850828;144866;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;29;0;0;42.7;218;1;3;6.018046285662292;61;23;;;12.lut;0;2;;33;;1;;;;;;;5;2;55;23.0;19.0;10;3;40;0;0;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.81177336;;;;13.82771510631136;;13.136329350995792;;13.136329350995792;516.2533448776992;336.89732625625163;;;;;;363.949886466949;82.95528354335433;181.9749432334745;41.47764177167716;144867;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;30;0;0;17.maj;221;1;3;6.018046285662292;61;23;;;10.lut;0;2;;33;;1;;;;;;;5;3;60;15.0;12.0;20;3;40;0;0;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.56743416;;;;8.91799480873696;;8.472095068300112;;8.472095068300112;343.53241396061577;212.37185719359238;;;;;;234.7244771242956;53.823894690034926;117.3622385621478;26.911947345017463;144868;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;31;0;0;21.sty;226;1;3;6.018046285662292;61;23;;;06.cze;0;2;;36;;1;;;;;;;0;1;15;6.0;6.0;80;4;10;0;0;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.23757624;;;;3.63061090522624;;3.449080359964928;;3.449080359964928;149.1723524333989;80.82331094091825;;;;;;95.55884082104431;22.364866889888525;47.77942041052216;11.182433444944262;144869;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;32;0;0;34.1;236;1;3;6.018046285662292;61;23;;;07.sie;0;2;;32;;1;;;;;;;10;1;60;15.0;10.0;20;3;38;0;0;;;;;;;;;;22500;;;1;1;;;;;3;;;;;0.33182136;;;;4.62235997618176;;4.576136376419942;;4.576136376419942;187.7628768496828;110.29528343785088;;;;;;126.78460399054036;29.407398687191204;63.39230199527018;14.703699343595602;144870;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;33;0;0;31.lip;245;1;3;6.018046285662292;61;23;;;05.wrz;0;2;;27;;1;;;;;;;10;1;50;13.0;3.0;40;4;20;0;1;;;;;;;;;;22500;;;1;3;;;;;3;;;;;0.18985374;;;;2.07730991869726;;2.0149906211363424;;2.0149906211363424;91.68988054207118;46.2454955510983;;;;;;55.826524152955045;13.157903768881868;27.913262076477523;6.578951884440934;144871;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;34;0;0;19.wrz;249;1;3;6.018046285662292;61;23;;;12.sty;0;2;;35;;1;;;;;;;5;3;45;15.0;15.0;25;3;30;0;1;;;;;;;;;;22500;;;1;5;;;;;3;;;;;0.79852014;;;;14.5861332689315;;13.856826605484924;;13.856826605484924;540.4020482774434;355.0209051746653;;;;;;383.91169520092313;87.52729601295945;191.95584760046157;43.76364800647973;144872;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;35;0;0;25.kwi;252;1;3;6.018046285662292;61;23;;;9.0;0;2;;32;;1;;;;;;;0;3;60;15.0;12.0;10;3;43;0;1;;;;;;;;;;;;;1;0;;;;;3;;;;;0.441774;;;;6.4077638656;;6.4077638656;;6.4077638656;253.56316694242093;157.8395958244692;;;;;;177.53094255476736;40.910524482007226;88.76547127738368;20.455262241003613;144873;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;36;0;0;45.7;250;1;3;6.018046285662292;61;23;;;07.sty;0;2;;32;;1;;;;;;;0;1;55;12.0;10.0;20;3;38;0;1;;;;;;;;;;;;;1;0;;;;;3;;;;;0.27493614;;;;3.74616521394176;;3.74616521394176;;3.74616521394176;154.85990609935305;88.90677110808622;;;;;;103.78975495138482;24.191084203372878;51.89487747569241;12.095542101686439;144874;2,51083E+14;144830;144829;;;;
